month,average_price
2015-01,414.4344579929094
2015-02,692.5134116203164
2015-03,1256.3970661334688
2015-04,1712.6188210830474
2015-05,1650.34237435688
2015-06,1369.284584395405
2015-07,1647.4518442190488
2015-08,2013.6633897755512
2015-09,2301.8553206501
2015-10,2409.768467596627
2015-11,2381.5192021064704
2015-12,2394.9873382580304
2016-01,2524.0221181362244
2016-02,2182.691145529925
2016-03,1633.634531251322
2016-04,1911.7950937123428
2016-05,1719.6309621888936
2016-06,1747.9042204225834
2016-07,2035.871385668884
2016-08,2204.851760041252
2016-09,2601.803870261436
2016-10,3571.7337751114055
2016-11,3052.3198372807724
2016-12,2327.401480643354
2017-01,2495.8016605962443
2017-02,2576.307408330307
2017-03,2798.4631962169833
2017-04,2921.942499951473
2017-05,2393.537252886371
2017-06,2527.4197879237568
2017-07,2391.3897573398667
2017-08,2356.3367198552814
2017-09,1896.272903012151
2017-10,2045.1553541660867
2017-11,2871.8584401361727
2017-12,3913.3185846356255
2018-01,3351.0524223321227
2018-02,4094.3932837105335
2018-03,4370.354642644921
2018-04,3856.488645880371
2018-05,5181.8209051429485
2018-06,4533.4367085074155
2018-07,5409.2922084859165
2018-08,5968.609674537248
2018-09,5406.010460147813
2018-10,5810.1353546550035
2018-11,5336.136795192691
2018-12,5544.348332133313
2019-01,4983.491155308153
2019-02,4068.1941471065297
2019-03,3733.151781728661
2019-04,3373.8639612361712
2019-05,2709.907343866207
2019-06,2036.9449268423812
2019-07,1764.743452235834
2019-08,1424.7535969052499
2019-09,1701.452338409327
2019-10,1580.039687026291
2019-11,1144.8446920019298
2019-12,899.6560767871097
